job_id,station_id,ready_s,start_s,end_s
J0001,S1,0,0,40
J0002,S2,0,40,80
J0003,S1,0,80,120
J0004,S2,0,120,160
J0005,S1,0,160,200
J0006,S2,0,200,240
J0007,S1,0,240,280
J0008,S2,0,280,320
J0009,S1,0,320,360
J0010,S2,0,360,400
J0011,S1,0,400,440
J0012,S2,0,440,480
J0013,S1,0,480,520
J0014,S2,0,520,560
J0015,S1,0,560,600
J0016,S2,0,600,640
J0017,S1,0,640,680
J0018,S2,0,680,720
J0019,S1,0,720,760
J0020,S2,0,760,800
J0021,S1,0,800,840
J0022,S2,0,840,880
J0023,S1,0,880,920
J0024,S2,0,920,960
J0025,S1,0,960,1000
J0026,S2,0,1000,1040
J0027,S1,0,1040,1080
J0028,S2,0,1080,1120
J0029,S1,0,1120,1160
J0030,S2,0,1160,1200
J0031,S1,0,1200,1240
J0032,S2,0,1240,1280
J0033,S1,0,1280,1320
J0034,S2,0,1320,1360
J0035,S1,0,1360,1400
J0036,S2,0,1400,1440
J0037,S1,0,1440,1480
J0038,S2,0,1480,1520
J0039,S1,0,1520,1560
J0040,S2,0,1560,1600
J0041,S1,0,1600,1640
J0042,S2,0,1640,1680
J0043,S1,0,1680,1720
J0044,S2,0,1720,1760
J0045,S1,0,1760,1800
J0046,S2,0,1800,1840
J0047,S1,0,1840,1880
J0048,S2,0,1880,1920
J0049,S1,0,1920,1960
J0050,S2,0,1960,2000
J0051,S1,0,2000,2040
J0052,S2,0,2040,2080
J0053,S1,0,2080,2120
J0054,S2,0,2120,2160
J0055,S1,0,2160,2200
J0056,S2,0,2200,2240
J0057,S1,0,2240,2280
J0058,S2,0,2280,2320
J0059,S1,0,2320,2360
J0060,S2,0,2360,2400
J0061,S1,0,2400,2440
J0062,S2,0,2440,2480
J0063,S1,0,2480,2520
J0064,S2,0,2520,2560
J0065,S1,0,2560,2600
J0066,S2,0,2600,2640
J0067,S1,0,2640,2680
J0068,S2,0,2680,2720
J0069,S1,0,2720,2760
J0070,S2,0,2760,2800
J0071,S1,0,2800,2840
J0072,S2,0,2840,2880
J0073,S1,0,2880,2920
J0074,S2,0,2920,2960
J0075,S1,0,2960,3000
J0076,S2,0,3000,3040
J0077,S1,0,3040,3080
J0078,S2,0,3080,3120
J0079,S1,0,3120,3160
J0080,S2,0,3160,3200
J0081,S1,0,3200,3240
J0082,S2,0,3240,3280
J0083,S1,0,3280,3320
J0084,S2,0,3320,3360
J0085,S1,0,3360,3400
J0086,S2,0,3400,3440
J0087,S1,0,3440,3480
J0088,S2,0,3480,3520
J0089,S1,0,3520,3560
J0090,S2,0,3560,3600
J0091,S1,0,3600,3640
J0092,S2,0,3640,3680
J0093,S1,0,3680,3720
J0094,S2,0,3720,3760
J0095,S1,0,3760,3800
J0096,S2,0,3800,3840
J0097,S1,0,3840,3880
J0098,S2,0,3880,3920
J0099,S1,0,3920,3960
J0100,S2,0,3960,4000
J0101,S1,0,4000,4040
J0102,S2,0,4040,4080
J0103,S1,0,4080,4120
J0104,S2,0,4120,4160
J0105,S1,0,4160,4200
J0106,S2,0,4200,4240
J0107,S1,0,4240,4280
J0108,S2,0,4280,4320
J0109,S1,0,4320,4360
J0110,S2,0,4360,4400
J0111,S1,0,4400,4440
J0112,S2,0,4440,4480
J0113,S1,0,4480,4520
J0114,S2,0,4520,4560
J0115,S1,0,4560,4600
J0116,S2,0,4600,4640
J0117,S1,0,4640,4680
J0118,S2,0,4680,4720
J0119,S1,0,4720,4760
J0120,S2,0,4760,4800
J0121,S1,0,4800,4840
J0122,S2,0,4840,4880
J0123,S1,0,4880,4920
J0124,S2,0,4920,4960
J0125,S1,0,4960,5000
J0126,S2,0,5000,5040
J0127,S1,0,5040,5080
J0128,S2,0,5080,5120
J0129,S1,0,5120,5160
J0130,S2,0,5160,5200
J0131,S1,0,5200,5240
J0132,S2,0,5240,5280
J0133,S1,0,5280,5320
J0134,S2,0,5320,5360
J0135,S1,0,5360,5400
J0136,S2,0,5400,5440
J0137,S1,0,5440,5480
J0138,S2,0,5480,5520
J0139,S1,0,5520,5560
J0140,S2,0,5560,5600
J0141,S1,0,5600,5640
J0142,S2,0,5640,5680
J0143,S1,0,5680,5720
J0144,S2,0,5720,5760
J0145,S1,0,5760,5800
J0146,S2,0,5800,5840
J0147,S1,0,5840,5880
J0148,S2,0,5880,5920
J0149,S1,0,5920,5960
